id,title,status,category,parties,rights_affected,money_fields,rights_grant_notes,control_fields,intake_questions,template_file,questionnaire_file,github_template_link,github_questionnaire_link,github_yaml_link,risk_1_severity,risk_1_text,risk_2_severity,risk_2_text,risk_3_severity,risk_3_text,risk_4_severity,risk_4_text
joint-venture-publishing-agreement,Joint Venture Publishing Agreement,sourced,songwriting_and_publishing,Publisher | Record Company,composition_publishing | income_royalty_recoupment | liability_indemnification_insurance,Cash and property contributed by each partner | Percentage of net profit/loss per partner,"This creates a business entity/relationship, not a simple license — treat as high-stakes and recommend attorney/accountant review by default given ongoing shared liability","How new partners can be admitted (should require unanimous consent) | What happens on a partner's death, bankruptcy, or exit — does the JV continue? | Decision-making process for the JV's business","Who are all the partners, and what is each contributing (cash, catalog, distribution, services)? | What percentage of profit/loss does each partner receive? | Has the user considered forming an actual LLC for liability protection instead of an informal joint venture? (often the better artist-protective default — see the LLC Operating Agreement template)",joint-venture-publishing-agreement.md,joint-venture-publishing-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/joint-venture-publishing-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/joint-venture-publishing-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/joint-venture-publishing-agreement.yaml,always_attorney,"Joint ventures create ongoing shared liability and profit obligations — this is not a one-off contract, it's a business relationship.",red,no clear exit/buyout mechanism if one partner wants out or the relationship breaks down.,,,,
llc-operating-agreement,LLC Operating Agreement (Music Venture),sourced,business_formation,Member | Member,income_royalty_recoupment | liability_indemnification_insurance | term_renewal_termination,"Capital contributions per member | Distribution schedule and priority (return of capital before profit split, etc.)","Defines company-level ownership of the business itself (and by extension, any IP the LLC holds), separate from any individual artist's personal masters/publishing — clarify what assets actually sit inside the LLC","Voting rights and what requires unanimous vs. majority approval | Buy-sell provisions: what happens if a member wants to leave, dies, or wants to sell their stake | Admission of new members","How many members, and what percentage does each hold? | Is this member-managed (all members vote on decisions) or manager-managed (one or a few run day-to-day)? | What happens if a member wants to exit, stops contributing, or the members disagree on a major decision? | What state will the LLC be formed in? (This determines filing requirements outside this document — recommend confirming with a local attorney or formation service.)",llc-operating-agreement.md,llc-operating-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/llc-operating-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/llc-operating-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/llc-operating-agreement.yaml,always_attorney,for LLC formation documents — state-specific filing requirements and tax elections matter and are outside this skill's scope.,yellow,no buy-sell/exit provision — can trap members in a business relationship with no clean way out.,,,,
merchandise-license-agreement,Merchandise License Agreement,original,licensing,Licensor | Licensee,name_image_likeness | income_royalty_recoupment | term_renewal_termination,"Royalty rate on net sales (industry range roughly 8-15%) | Advance, if any, and whether it's recoupable against royalties","Confirms the artist/band keeps ownership of their name/logo/trademarks — this is a license to manufacture and sell, not a transfer of the brand itself","Product categories covered (don't grant broader categories than intended) | Approval rights over samples before production | Sell-off period after termination so the licensee isn't stuck with unsellable inventory, but also isn't selling forever","What product categories are covered (apparel, vinyl, posters, accessories)? | Exclusive or non-exclusive, and in what territory? | What royalty rate, and is there an advance? | Does the artist want sample-approval rights before products go into production?",merchandise-license-agreement.md,merchandise-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/merchandise-license-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/merchandise-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/merchandise-license-agreement.yaml,yellow,no minimum sales/good-faith-efforts requirement on an exclusive license — licensee can sit on the rights without actually selling anything.,yellow,no sell-off period defined for after termination — creates disputes about existing inventory.,green,built-in quality-control/sample-approval clause protects brand integrity — keep this even if the user is eager to move fast.,,
music-distribution-agreement,Music Distribution Agreement,original,licensing,Artist | Distributor,sound_recording_master | income_royalty_recoupment | term_renewal_termination,Distributor's fee/revenue share percentage | Accounting frequency,"Confirms the artist keeps ownership of masters and compositions — distribution is a service, not a rights transfer, unless the user is dealing with a distributor unusually asking for more",Exclusive vs. non-exclusive distribution rights | Takedown rights and how fast the artist can pull a release | Whether this covers one release or an ongoing catalog relationship,"Is this for one release or an ongoing relationship covering future releases too? | What's the distributor's fee/revenue share, and how often will they pay out? | Does the artist want the ability to pull the release down quickly if needed?",music-distribution-agreement.md,music-distribution-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/music-distribution-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/music-distribution-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/music-distribution-agreement.yaml,red,"a 'distributor' asking for ownership of masters or an equity stake in the recordings — that's no longer a distribution deal, it's a label deal, and should be evaluated as one (see Artist/Label Recording Agreement).",yellow,no defined accounting schedule — distributors should report and pay on a predictable cycle.,,,,
nda-non-circumvention-agreement,NDA / Non-Circumvention Agreement,original,protective_and_general,Party A | Party B,confidentiality,"Typically no payment terms — this is a protective document, not a deal itself",Confirms this grants NO license or ownership of anything — it only protects information and relationships while a deal is being discussed,Duration of confidentiality (2-3 years is typical) and non-circumvention (1-2 years) | Whether this is mutual (both sides protected) or should be one-directional,"What's actually being protected — an unreleased song, a business plan, deal terms, a contact introduction? | Is information flowing both ways (mutual) or mostly one direction (should be unilateral instead)? | Is there a specific introduction (a contact, a potential deal) that needs non-circumvention protection, and for how long?",nda-non-circumvention-agreement.md,nda-non-circumvention-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/nda-non-circumvention-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/nda-non-circumvention-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/nda-non-circumvention-agreement.yaml,green,"signing this before sharing an unreleased track, deal terms, or a business introduction is a low-cost, high-value habit — encourage it even for casual-seeming conversations.",yellow,"if only one party is actually disclosing sensitive information, consider whether a one-way (unilateral) version is more appropriate than mutual — ask which direction the sensitive info is flowing.",,,,
non-exclusive-beat-license-agreement,Non-Exclusive Beat License Agreement,original,licensing,Producer | Artist,composition_publishing | sound_recording_master,License fee (typically the lowest tier a producer sells),"This is a LICENSE, not ownership — the producer can and will sell the same beat to other artists. Make sure the user understands that before they build a whole campaign around a beat they don't have exclusive rights to.","Usage caps (stream/download limits, no broadcast/sync/paid ads without upgrading) | Upgrade path to exclusive if the song starts to take off","What's the license fee, and what usage tier (streams, video use, no broadcast) is being purchased? | Does the artist plan to push this song commercially at scale? If so, discuss upgrading to exclusive before finalizing a release plan.",non-exclusive-beat-license-agreement.md,non-exclusive-beat-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/non-exclusive-beat-license-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/non-exclusive-beat-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/non-exclusive-beat-license-agreement.yaml,yellow,"if the artist's song starts getting real traction, this license's usage caps can become a real problem (e.g., it wasn't licensed for broadcast or paid ads). Recommend upgrading to an exclusive license before the song is pushed commercially at scale.",green,"clear, low-cost way to test a beat before committing to an exclusive purchase — appropriate default for early-stage work.",,,,
producer-composer-agreement,Producer / Composer Agreement,sourced,recording_and_production,Producer | Artist,sound_recording_master | income_royalty_recoupment | composition_publishing,"Flat fee vs. royalty points (or both) | Payment schedule (deposit, on-delivery, on-release) | Whether points are paid on net or gross, and from what revenue streams (streaming, sync, physical)",Is this work-for-hire (commissioning party owns everything) or does the producer/composer retain a royalty/points interest and credit? | Sample/loop clearance responsibility — who warrants the material is clean,"Number of revisions/rounds included in the fee before extra charges apply | Delivery format and deadline | Credit requirements (liner notes, streaming metadata, video credits)","Is this a flat-fee work-for-hire, or does the producer/composer keep a royalty/points interest? | What's the fee, and what payment milestones trigger payment? | How many revision rounds are included before additional charges apply? | What credit does the producer/composer receive, and where (streaming, liner notes, video)?",producer-composer-agreement.md,producer-composer-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/producer-composer-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/producer-composer-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/producer-composer-agreement.yaml,yellow,"'full buyout, no further compensation' language when the producer expected points — clarify before signing.",yellow,"no defined revision limit, opening the door to unlimited free rework.",red,producer required to warrant sample clearance without being told what samples were used.,,
producer-royalties-agreement,Producer Royalties Agreement,sourced,recording_and_production,Producer | Artist,income_royalty_recoupment,"Royalty rate (points), typically 2-5% of net receipts for a non-featured producer | Whether points are 'all-in' (paid from the artist's royalty) or paid on top by the label | Recoupment: are producer points subject to recoupment of the artist's advance, or paid from first dollar?","Confirms this is a royalty arrangement, not ownership of the master","Accounting frequency (quarterly/semi-annual) and statement/audit rights | Credit requirements | What happens to points if the track is remixed, re-released, or used in a compilation","What point rate did the producer and artist/label agree to? | Are the points 'all-in' (from the artist's share) or paid separately by the label? | How often will royalty statements be sent, and does the producer want audit rights?",producer-royalties-agreement.md,producer-royalties-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/producer-royalties-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/producer-royalties-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/producer-royalties-agreement.yaml,yellow,no defined accounting schedule or audit right — producer has no way to verify they're being paid correctly.,yellow,"points defined as 'all-in' without the producer understanding that means splitting the artist's own royalty, not extra money from the label.",,,,
production-agreement,Production Agreement (Producer / Production Company),sourced,recording_and_production,Artist | Production Company,sound_recording_master | term_renewal_termination | income_royalty_recoupment,Recording budget and who fronts it | Recoupment of production costs from future deals | Producer's percentage of any deal secured (development/shopping fee),"Does the production company own the masters during development, with a plan to shop to labels, or is this artist-owned with a paid producer? | What happens to ownership if the production company secures a label deal — do they keep a piece as a production/JV deal?",Exclusivity during the development term | Term length and what happens if no deal is secured | Approval rights over which labels/deals the artist can accept,"Is the goal to get shopped to a label, self-release, or both? | Who is funding the recording — the production company, the artist, or split? | If a label deal is secured, what percentage or role does the production company keep? | What's the outside date — if no deal happens by [date], do all rights revert to the artist?",production-agreement.md,production-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/production-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/production-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/production-agreement.yaml,red,"production company takes perpetual master ownership plus a large cut of any future label deal, with no time limit on the exclusivity.",yellow,vague 'reasonable efforts' shopping obligation with no deadline — artist can be locked up indefinitely with no deal materializing.,,,,
songwriter-collaboration-agreement,Songwriter Collaboration Agreement,sourced,songwriting_and_publishing,Writer A | Writer B,composition_publishing | approvals_creative_control,"Ownership percentage per writer | Who administers/collects (self, publisher, PRO) and how collected money is distributed","Confirms this only covers the composition/publishing, not any master recording made of it","Approval rights for licensing the song (samples, sync, cover versions) — unanimous or majority? | What happens if one writer wants to license the song and another objects","What are the agreed percentage splits between writers? | Should any single writer be able to approve licenses on their own for their share, or does everyone need to agree? | Is a formal split sheet also needed for PRO registration? (recommend yes)",songwriter-collaboration-agreement.md,songwriter-collaboration-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/songwriter-collaboration-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/songwriter-collaboration-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/songwriter-collaboration-agreement.yaml,yellow,no default rule for what happens if writers can't agree on a license request — can freeze the song indefinitely.,green,simple percentage splits with each writer independently able to license their own share (standard and artist-friendly) if that's the intent — confirm it's actually wanted.,,,,
songwriter-split-sheet,Songwriter Split Sheet (Detailed / PRO-Registration),sourced,songwriting_and_publishing,Writer | Co-Writer,composition_publishing,No payment terms — this document captures PRO-registration data alongside ownership percentages.,Splits the composition/publishing and captures lyrics-vs-music percentage breakdown per writer. | Captures PRO affiliation (ASCAP/BMI/SESAC) and CAE/IPI number for royalty routing.,Sample disclosure required. | SSN field in the source template should generally be omitted or collected through a separate secure channel.,"Song title, session date(s), recording artist, and label? | For each writer: legal name, publishing company (if any), PRO affiliation, and lyrics/music percentage split? | Does any writer already have a publisher entitled to a percentage?",songwriter-split-sheet.md,songwriter-split-sheet-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/songwriter-split-sheet.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/songwriter-split-sheet-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/songwriter-split-sheet.yaml,yellow,Total ownership percentages across all writers do not sum to 100%.,yellow,A writer's publishing percentage is not clarified as carved-out-of vs. in-addition-to their writer's share.,yellow,Privacy flag: full Social Security Numbers should not be embedded in a document that will be widely shared; recommend collecting tax ID separately.,,
